Modèle,AIC,MAPE,RMSE,MSE,MAE
"(1, 0, 0)(2, 0, 1, 12)",-249.38790017105987,5.729424512145432,2238.995116660107,5013099.132427808,1780.8539992004844
"(1, 0, 0)(2, 0, 2, 6)",-298.22715456032523,5.181110649624799,2066.5720044678164,4270719.849650129,1613.8565667707637
"(1, 0, 0)(2, 0, 2, 12)",-247.42134290304227,5.743873735174205,2243.5529849028158,5033529.996066335,1785.1943092369156
"(1, 0, 0)(2, 1, 0, 6)",-264.3180926754687,5.321628462688421,2121.229510551981,4499614.6364365965,1652.8677768787938
"(1, 0, 0)(2, 1, 0, 12)",-199.67711925956266,5.6795188484232195,2221.295018509709,4934151.559256047,1767.6237475657285
"(1, 0, 0)(2, 1, 1, 6)",-266.849856970267,5.380167069794168,2110.9832613071903,4456250.329519141,1673.8520428710253
"(1, 0, 0)(2, 1, 1, 12)",-197.91784178448205,5.700896860275015,2226.386429343005,4956796.532762695,1773.8475565543101
"(1, 0, 0)(2, 1, 2, 6)",-273.80522496905655,5.205051419599338,2074.0972715713287,4301879.491939629,1623.2993333991487
"(1, 0, 1)(0, 0, 0, 6)",-254.40863431023274,3.963412444653733,1597.975755533834,2553526.5152739272,1234.7968419521067
"(1, 0, 1)(0, 0, 0, 12)",-254.40863431023274,3.963412444653733,1597.975755533834,2553526.5152739272,1234.7968419521067
"(1, 0, 1)(0, 0, 1, 6)",-240.75460590363735,3.9755293129318865,1609.020081095722,2588945.6213692836,1239.0122139500056
"(1, 0, 1)(0, 0, 1, 12)",-183.53794285506498,3.767874323345382,1577.9680870936793,2489983.2838860853,1177.772173274502
"(1, 0, 1)(0, 0, 2, 6)",-36.406611575567,11.370662767451876,5047.455404413449,25476806.059542537,3532.164527214388
"(1, 0, 1)(0, 0, 2, 12)",1766.7085161021278,4.008428316425951,1706.7996086158228,2913164.903971126,1270.479667807224
